1,2,3,4,5,6,7,8,9
0.194975,3.6211,32.840105,18.59964,6.492805,3.500855,1.162135,0.242045,0.377495
0.27495,2.57239,7.38311,33.23723,7.22926,0.885155,0.690595,0.152975,0.00712
2.05769,2.646245,2.539335,4.90911,18.385285,4.5052,0.24775,0.18263,0.08884
0.60848,1.871265,6.285855,3.761335,3.38208,7.094895,1.1838,0.2001,0.049855
2.307915,6.87165,5.754785,3.363305,1.552635,2.18309,3.00604,0.182465,0.03785
1.06097,17.2115,12.232995,7.671285,2.085925,1.187065,1.414545,1.213545,0.154555
3.685675,11.841105,27.87298,9.063095,4.057735,0.746075,0.42158,0.34948,0.24951
0.341505,1.786825,5.18992,11.05731,2.829995,0.618435,0.088295,0.05991,0.092235
1.020585,2.25903,4.196225,5.406395,7.736365,1.721445,0.400725,0.12817,0.1078
1.093835,3.08126,3.683245,4.358425,5.83886,3.77401,0.71221,0.22329,0.063355
0.66736,4.900645,3.446615,1.741735,1.557385,1.28131,0.613875,0.1402,0.07745
0.427775,1.165955,2.24744,1.57007,0.89853,0.673815,0.379005,0.153965,0.063315
0.9078,0.35168,1.85294,1.640205,2.00306,0.799095,0.26234,0.138815,0.166365
3.061785,2.17772,9.875075,4.10537,2.764725,1.96156,0.657315,0.236145,0.187915
1.34571,6.238985,7.756645,5.04181,1.815915,1.220775,0.744595,0.208895,0.171005
0.03547,1.51405,6.87352,5.418945,1.90352,0.803565,0.525,0.18682,0.070545
0.204385,0.110765,1.15531,5.402475,2.56296,0.441705,0.178455,0.096135,0.023465
1.97259,0.52572,1.02668,1.04655,4.444435,2.70771,0.52149,0.22149,0.15434
0.072,3.22015,4.33118,1.78952,1.78788,2.00416,0.620135,0.184145,0.11119
1.02896,1.16498,11.18452,8.47447,2.062395,1.805565,1.20783,0.333815,0.07907
1.028045,2.952225,4.193765,9.24703,3.465555,0.732645,0.713325,0.365755,0.07278
3.54127,4.156365,4.98684,7.95586,8.18167,1.80483,0.648505,0.324945,0.08905
4.901265,4.910105,3.897005,3.90768,2.51455,2.04909,0.52892,0.138265,0.09882
1.169785,3.719465,4.614365,4.007295,2.188155,1.380875,0.61719,0.181405,0.082885
0.41811,0.82312,4.28498,3.427515,1.06151,0.429875,0.243055,0.147815,0.02265
0.571911424,0.5144417475,0.6831022,2.4289309405,1.0557701155,0.30848288975,0.1007685911,0.07662757955,0.045314775235
0.169482784,1.3973586185,0.9944607545,0.90866195,0.930702118,0.23881930285,0.1064285653,0.08627196685,0.02035582962
