Flota,Country,0,1,2,3,4,5,6,7,8,9,10,11
ART,pt,17030.9577605332,18201.5342814117,2247.22567712604,1639.46360729747,927.71044681151,522.25695662199,235.137568677195,96.3099061106099,126.598861228922,253.709459957058,228.316017984623,462.734034206463
ART,sp,0,0.275161137824457,22.6513841623048,30.1937068236469,52.2414538362025,109.48854639364,164.817793502914,150.680354567885,50.6779521283814,107.258720302737,88.4958508800891,119.288601984754
OTB,pt,2003.52240589189,10941.1588956527,10805.4313834553,14390.6693790995,12548.7053902753,4387.52544639594,2316.85816509954,1633.72397483812,1962.01635441498,3661.62055406864,2183.29087195214,3165.96489594628
OTB,sp,0,0.0853236844207936,5.60255416067087,87.8159646323385,143.136714606484,175.811063878772,385.413546475147,446.588560007418,259.938270162542,770.539139905519,606.075600588755,626.690701935236
PS,pt,6187.61299789612,17590.5158338966,7446.46221907015,10843.7449928669,16227.8790549518,8705.42410940094,4003.1177777516,1391.70644880629,1556.88434413895,2995.36076882252,2003.41201218464,3106.74618939493
PS,sp,1678.97724849928,13394.0055401757,28297.5248053278,19942.1669315896,10018.9586040512,3846.90922979309,2158.07596271831,2471.80567314997,1120.78679835957,3012.89372562151,1990.0730949748,970.019328954814
