Flota,0,1,2,3,4,5,6,7,8,9,10,11
ART,17030.9577605332,18201.8094425495,2269.87706128834,1669.65731412112,979.951900647712,631.74550301563,399.955362180109,246.990260678494,177.276813357303,360.968180259795,316.811868864712,582.022636191217
OTB,2003.52240589189,10941.2442193371,10811.033937616,14478.4853437318,12691.8421048818,4563.33651027471,2702.27171157469,2080.31253484554,2221.95462457752,4432.15969397416,2789.3664725409,3792.65559788152
PS,7866.5902463954,30984.5213740723,35743.9870243979,30785.9119244565,26246.837659003,12552.333339194,6161.19374046991,3863.51212195626,2677.67114249852,6008.25449444403,3993.48510715944,4076.76551834974
